,datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharename,securityid
0,2019-07-25T02:54:22.479Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\ipc$,s-1-5-18
1,2019-07-25T02:54:22.483Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\sysvol,s-1-5-18
2,2019-07-25T02:55:05.715Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
3,2019-07-25T02:55:05.715Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
4,2019-07-25T02:55:05.715Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
5,2019-07-25T02:55:05.715Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
6,2019-07-25T02:55:05.699Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\sysvol,s-1-5-18
7,2019-07-25T02:55:48.115Z,4768,user01,::ffff:10.1.1.30,,,,,
8,2019-07-25T02:55:48.122Z,4769,user01,::ffff:10.1.1.30,,,,,
9,2019-07-25T02:56:22.683Z,4769,user01,::ffff:10.1.1.30,,,,,
10,2019-07-25T02:58:47.911Z,5140,win10$,10.1.1.30,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-3602
11,2019-07-25T02:59:19.836Z,4769,user01,::ffff:10.1.1.30,,,,,
12,2019-07-25T02:59:19.831Z,4769,user01,::ffff:10.1.1.30,,,,,
13,2019-07-25T02:59:19.842Z,5140,user01,10.1.1.30,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-1103
14,2019-07-25T02:59:32.096Z,4768,user01,::ffff:10.1.1.30,,,,,
15,2019-07-25T02:59:32.105Z,4769,user01,::ffff:10.1.1.30,,,,,
16,2019-07-25T02:59:32.216Z,4769,user01,::ffff:10.1.1.30,,,,,
17,2019-07-25T03:00:00.675Z,4688,dc2016$,,,c:\windows\system32\wsqmcons.exe,,,s-1-5-18
18,2019-07-25T03:00:05.194Z,4769,user01,::ffff:10.1.1.30,,,,,
19,2019-07-25T03:00:05.201Z,4769,user01,::ffff:10.1.1.30,,,,,
20,2019-07-25T03:00:05.207Z,5140,user01,10.1.1.30,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-1103
21,2019-07-25T03:00:05.842Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\sysvol,s-1-5-18
22,2019-07-25T03:00:05.857Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
23,2019-07-25T03:00:05.857Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
24,2019-07-25T03:00:05.857Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
25,2019-07-25T03:00:05.857Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
26,2019-07-25T03:00:38.092Z,4768,win10$,::ffff:10.1.1.30,,,,,
27,2019-07-25T03:00:38.103Z,4769,win10$,::ffff:10.1.1.30,,,,,
28,2019-07-25T03:00:38.398Z,4768,win10$,::ffff:10.1.1.30,,,,,
