eventID,account,process,objectname,target
4674,dcadmin,c:\windows\system32\services.exe,,outlier
4674,dcadmin,c:\windows\system32\services.exe,psexesvc,outlier
4688,dcadmin,c:\windows\system32\ipconfig.exe,,outlier
4674,dcadmin,c:\windows\system32\ipconfig.exe,,outlier
4674,dcadmin,c:\windows\system32\ipconfig.exe,,outlier
4688,dcadmin,c:\windows\system32\systeminfo.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4688,dcadmin,c:\windows\system32\wbem\wmic.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmic.exe,,outlier
4674,dcadmin,c:\windows\system32\wbem\wmic.exe,,outlier
4688,dcadmin,c:\windows\system32\net.exe,,outlier
4688,dcadmin,c:\windows\system32\net1.exe,,outlier
4688,dcadmin,c:\windows\system32\net.exe,,outlier
4688,dcadmin,c:\windows\system32\net1.exe,,outlier
4688,dcadmin,c:\windows\system32\net.exe,,outlier
4688,dcadmin,c:\windows\system32\net1.exe,,outlier
4688,dcadmin,c:\windows\system32\net.exe,,outlier
4688,dcadmin,c:\windows\system32\net1.exe,,outlier
4688,dcadmin,c:\windows\system32\netstat.exe,,outlier
4674,dcadmin,c:\windows\system32\netstat.exe,,outlier
4674,dcadmin,c:\windows\system32\netstat.exe,,outlier
4674,dcadmin,c:\windows\system32\netstat.exe,,outlier
4674,dcadmin,c:\windows\system32\netstat.exe,,outlier
4688,dcadmin,c:\temp\tools\backdoor\app5\app5.exe,,outlier
4674,dcadmin,c:\temp\tools\backdoor\app5\app5.exe,,outlier
4674,dcadmin,c:\temp\tools\backdoor\app5\app5.exe,,outlier
4688,dcadmin,c:\temp\tools\backdoor\app7\app7.exe,,outlier
4688,dcadmin,c:\windows\system32\cmd.exe,,outlier
4688,dcadmin,c:\windows\system32\schtasks.exe,,outlier
4688,dcadmin,c:\windows\system32\cmd.exe,,outlier
4688,dcadmin,c:\windows\system32\schtasks.exe,,outlier
4688,dcadmin,c:\windows\system32\tasklist.exe,,outlier
4688,dcadmin,c:\windows\system32\schtasks.exe,,outlier
4688,dcadmin,c:\windows\system32\find.exe,,outlier
4688,dcadmin,c:\windows\system32\at.exe,,outlier
4674,dcadmin,c:\windows\system32\services.exe,,outlier
4674,dcadmin,c:\windows\system32\services.exe,psexesvc,outlier
4688,dcadmin,c:\windows\system32\hostname.exe,,outlier
4674,dcadmin,c:\windows\system32\hostname.exe,,outlier
4674,dcadmin,c:\windows\system32\hostname.exe,,outlier
4688,dcadmin,c:\windows\system32\whoami.exe,,outlier
4688,dcadmin,c:\windows\system32\at.exe,,outlier
4688,dcadmin,c:\windows\system32\ipconfig.exe,,outlier
4674,dcadmin,c:\windows\system32\ipconfig.exe,,outlier
4674,dcadmin,c:\windows\system32\ipconfig.exe,,outlier
4688,dcadmin,c:\windows\system32\ping.exe,,outlier
4674,dcadmin,c:\windows\system32\ping.exe,,outlier
4674,dcadmin,c:\windows\system32\ping.exe,,outlier
4674,user101,c:\windows\system32\services.exe,,outlier
4674,user101,c:\windows\system32\services.exe,psexesvc,outlier
4688,user101,c:\windows\system32\hostname.exe,,outlier
4674,user101,c:\windows\system32\hostname.exe,,outlier
4674,user101,c:\windows\system32\hostname.exe,,outlier
4688,user101,c:\windows\system32\whoami.exe,,outlier
4688,user101,c:\tools\mimikatz_trunk\x64\mimikatz.exe,,outlier
4674,asabe,c:\windows\system32\services.exe,,outlier
4674,asabe,c:\windows\system32\services.exe,psexesvc,outlier
4688,asabe,c:\windows\system32\hostname.exe,,outlier
4674,asabe,c:\windows\system32\hostname.exe,,outlier
4674,asabe,c:\windows\system32\hostname.exe,,outlier
4688,asabe,c:\windows\system32\whoami.exe,,outlier
4688,asabe,c:\windows\system32\ipconfig.exe,,outlier
4674,asabe,c:\windows\system32\ipconfig.exe,,outlier
4674,asabe,c:\windows\system32\ipconfig.exe,,outlier
4688,asabe,c:\windows\system32\systeminfo.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4688,asabe,c:\windows\system32\wbem\wmic.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmic.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmic.exe,,outlier
4688,asabe,c:\windows\system32\net.exe,,outlier
4688,asabe,c:\windows\system32\net1.exe,,outlier
4688,asabe,c:\windows\system32\net.exe,,outlier
4688,asabe,c:\windows\system32\net1.exe,,outlier
4674,asabe,c:\windows\system32\services.exe,,outlier
4674,asabe,c:\windows\system32\services.exe,psexesvc,outlier
4688,asabe,c:\windows\system32\net.exe,,outlier
4688,asabe,c:\windows\system32\net1.exe,,outlier
4688,asabe,c:\windows\system32\ipconfig.exe,,outlier
4674,asabe,c:\windows\system32\ipconfig.exe,,outlier
4674,asabe,c:\windows\system32\ipconfig.exe,,outlier
4688,asabe,c:\windows\system32\systeminfo.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmiprvse.exe,,outlier
4688,asabe,c:\windows\system32\wbem\wmic.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmic.exe,,outlier
4674,asabe,c:\windows\system32\wbem\wmic.exe,,outlier
4688,asabe,c:\windows\system32\net.exe,,outlier
4688,asabe,c:\windows\system32\net1.exe,,outlier
4688,asabe,c:\windows\system32\net.exe,,outlier
4688,asabe,c:\windows\system32\net1.exe,,outlier
4688,asabe,c:\windows\system32\net.exe,,outlier
4688,asabe,c:\windows\system32\net1.exe,,outlier
4688,asabe,c:\windows\system32\netstat.exe,,outlier
4674,asabe,c:\windows\system32\netstat.exe,,outlier
4674,asabe,c:\windows\system32\netstat.exe,,outlier
4674,asabe,c:\windows\system32\netstat.exe,,outlier
4674,asabe,c:\windows\system32\netstat.exe,,outlier
4688,asabe,c:\windows\system32\hostname.exe,,outlier
4674,asabe,c:\windows\system32\hostname.exe,,outlier
4674,asabe,c:\windows\system32\hostname.exe,,outlier
4688,asabe,c:\temp\tools\mimikatz_trunk\x64\mimikatz.exe,,outlier
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
4688,dc$,c:\windows\system32\rundll32.exe,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
4688,dc$,c:\windows\system32\ceiprole.exe,,train
4688,dc$,c:\windows\system32\conhost.exe,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
4688,dc$,c:\windows\system32\taskhost.exe,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
4688,dc$,c:\windows\system32\aitagent.exe,,train
4688,dc$,c:\windows\system32\conhost.exe,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
5140,dc$,,,train
